('sys.path:\n', ['/home/chaoyan/Documents/DL/beta_vae_mol/bo', '/home/chaoyan/anaconda3/envs/torch41/lib/python27.zip', '/home/chaoyan/anaconda3/envs/torch41/lib/python2.7', '/home/chaoyan/anaconda3/envs/torch41/lib/python2.7/plat-linux2', '/home/chaoyan/anaconda3/envs/torch41/lib/python2.7/lib-tk', '/home/chaoyan/anaconda3/envs/torch41/lib/python2.7/lib-old', '/home/chaoyan/anaconda3/envs/torch41/lib/python2.7/lib-dynload', '/home/chaoyan/anaconda3/envs/torch41/lib/python2.7/site-packages', '/home/chaoyan/anaconda3/envs/torch41/lib/python2.7/site-packages/Theano-0.8.0-py2.7.egg', '/home/chaoyan/Documents/DL/beta_vae_mol'])
Namespace(batch_size=128, dropout=0.5, embedding_size=48, enc_bidir=True, generate_samples=False, grad_clip=5.0, latent_size=56, layer_size=512, logdir='/mnt/Data/DL/tmp/beta_vae_mol', max_len=75, n_layers=2, num_epochs=151, random_seed=5, restore='/mnt/Data/DL/tmp/beta_vae_mol/baseline/checkpoints/150', save_dir='results5', tag='', test_mode=False, wd=0.0001, weighted_loss=False)
('X_train', <type 'numpy.ndarray'>, (224510, 56))
('y_train', <type 'numpy.ndarray'>, (224510, 1))
(249456, 249456, 249456)
('load vocab from:', '../data/vacab')
('vocab_size:', 65)
('padding_idx sos_idx eos_idx unk_idx:', 1, 2, 1, 0)
('X_train shape:', (224510, 56))
('y_train shape:', (224510, 1))
Initializing network
Compiling adam updates
Training
Epoch: 0, Mini-batch: 0 of 45 - Energy: 13522.3919307 Time: 0.373417139053
Epoch: 0, Mini-batch: 1 of 45 - Energy: 13120.4931077 Time: 0.347412824631
Epoch: 0, Mini-batch: 2 of 45 - Energy: 13385.4456007 Time: 0.411237955093
Epoch: 0, Mini-batch: 3 of 45 - Energy: 13424.2095222 Time: 0.354661941528
Epoch: 0, Mini-batch: 4 of 45 - Energy: 12844.0359605 Time: 0.354411840439
Epoch: 0, Mini-batch: 5 of 45 - Energy: 12617.405703 Time: 0.34534406662
Epoch: 0, Mini-batch: 6 of 45 - Energy: 12205.6446691 Time: 0.346181154251
Epoch: 0, Mini-batch: 7 of 45 - Energy: 13946.4659295 Time: 0.362277030945
Epoch: 0, Mini-batch: 8 of 45 - Energy: 12726.8004022 Time: 0.346780061722
Epoch: 0, Mini-batch: 9 of 45 - Energy: 12529.9192192 Time: 0.356939077377
Epoch: 0, Mini-batch: 10 of 45 - Energy: 12635.9476939 Time: 0.34331202507
Epoch: 0, Mini-batch: 11 of 45 - Energy: 12509.903408 Time: 0.360834121704
Epoch: 0, Mini-batch: 12 of 45 - Energy: 12371.6060377 Time: 0.347169876099
Epoch: 0, Mini-batch: 13 of 45 - Energy: 13206.3697837 Time: 0.35977602005
Epoch: 0, Mini-batch: 14 of 45 - Energy: 11729.4145609 Time: 0.359992980957
Epoch: 0, Mini-batch: 15 of 45 - Energy: 12333.1129716 Time: 0.367079019547
Epoch: 0, Mini-batch: 16 of 45 - Energy: 11484.9251465 Time: 0.369415044785
Epoch: 0, Mini-batch: 17 of 45 - Energy: 11515.3724186 Time: 0.362859964371
Epoch: 0, Mini-batch: 18 of 45 - Energy: 12857.0388098 Time: 0.371546983719
Epoch: 0, Mini-batch: 19 of 45 - Energy: 12309.1675711 Time: 0.37314414978
Epoch: 0, Mini-batch: 20 of 45 - Energy: 11756.7246389 Time: 0.368255138397
