('sys.path:\n', ['/home/chaoyan/Documents/DL/beta_vae_mol/bo', '/home/chaoyan/anaconda3/envs/torch41/lib/python27.zip', '/home/chaoyan/anaconda3/envs/torch41/lib/python2.7', '/home/chaoyan/anaconda3/envs/torch41/lib/python2.7/plat-linux2', '/home/chaoyan/anaconda3/envs/torch41/lib/python2.7/lib-tk', '/home/chaoyan/anaconda3/envs/torch41/lib/python2.7/lib-old', '/home/chaoyan/anaconda3/envs/torch41/lib/python2.7/lib-dynload', '/home/chaoyan/anaconda3/envs/torch41/lib/python2.7/site-packages', '/home/chaoyan/anaconda3/envs/torch41/lib/python2.7/site-packages/Theano-0.8.0-py2.7.egg', '/home/chaoyan/Documents/DL/beta_vae_mol'])
Namespace(batch_size=128, dropout=0.5, embedding_size=48, enc_bidir=True, generate_samples=False, grad_clip=5.0, latent_size=56, layer_size=512, logdir='/mnt/Data/DL/tmp/beta_vae_mol', max_len=75, n_layers=2, num_epochs=151, random_seed=2, restore='/mnt/Data/DL/tmp/beta_vae_mol/baseline/checkpoints/150', save_dir='guided_results2', tag='', test_mode=False, wd=0.0001, weighted_loss=False)
('X_train', <type 'numpy.ndarray'>, (224510, 56))
('y_train', <type 'numpy.ndarray'>, (224510, 1))
(249456, 249456, 249456)
('load vocab from:', '../data/vacab')
('vocab_size:', 65)
('padding_idx sos_idx eos_idx unk_idx:', 1, 2, 1, 0)
('X_train shape:', (224510, 56))
('y_train shape:', (224510, 1))
Initializing network
Compiling adam updates
Training
Epoch: 0, Mini-batch: 0 of 45 - Energy: 13726.8703817 Time: 0.346421957016
Epoch: 0, Mini-batch: 1 of 45 - Energy: 13398.5369491 Time: 0.291944980621
Epoch: 0, Mini-batch: 2 of 45 - Energy: 12391.8867347 Time: 0.319589138031
Epoch: 0, Mini-batch: 3 of 45 - Energy: 12705.0259751 Time: 0.305485010147
Epoch: 0, Mini-batch: 4 of 45 - Energy: 13058.7301765 Time: 0.213047981262
Epoch: 0, Mini-batch: 5 of 45 - Energy: 12967.7119728 Time: 0.214322090149
Epoch: 0, Mini-batch: 6 of 45 - Energy: 12959.6229629 Time: 0.21532201767
Epoch: 0, Mini-batch: 7 of 45 - Energy: 12611.5584651 Time: 0.217391014099
Epoch: 0, Mini-batch: 8 of 45 - Energy: 12404.0993164 Time: 0.213793992996
Epoch: 0, Mini-batch: 9 of 45 - Energy: 12245.0831677 Time: 0.212187051773
Epoch: 0, Mini-batch: 10 of 45 - Energy: 12592.8569771 Time: 0.213106155396
Epoch: 0, Mini-batch: 11 of 45 - Energy: 12105.6822674 Time: 0.214081048965
Epoch: 0, Mini-batch: 12 of 45 - Energy: 12975.829356 Time: 0.21368098259
Epoch: 0, Mini-batch: 13 of 45 - Energy: 11888.5578296 Time: 0.214931964874
Epoch: 0, Mini-batch: 14 of 45 - Energy: 12339.3067086 Time: 0.212884902954
Epoch: 0, Mini-batch: 15 of 45 - Energy: 12425.5983725 Time: 0.217836856842
Epoch: 0, Mini-batch: 16 of 45 - Energy: 12210.8616685 Time: 0.212934017181
Epoch: 0, Mini-batch: 17 of 45 - Energy: 12792.4850105 Time: 0.213641881943
Epoch: 0, Mini-batch: 18 of 45 - Energy: 12036.2230873 Time: 0.214287996292
Epoch: 0, Mini-batch: 19 of 45 - Energy: 11519.6044266 Time: 0.215620994568
