('sys.path:\n', ['/home/chaoyan/Documents/DL/beta_vae_mol/bo', '/home/chaoyan/anaconda3/envs/torch41/lib/python27.zip', '/home/chaoyan/anaconda3/envs/torch41/lib/python2.7', '/home/chaoyan/anaconda3/envs/torch41/lib/python2.7/plat-linux2', '/home/chaoyan/anaconda3/envs/torch41/lib/python2.7/lib-tk', '/home/chaoyan/anaconda3/envs/torch41/lib/python2.7/lib-old', '/home/chaoyan/anaconda3/envs/torch41/lib/python2.7/lib-dynload', '/home/chaoyan/anaconda3/envs/torch41/lib/python2.7/site-packages', '/home/chaoyan/anaconda3/envs/torch41/lib/python2.7/site-packages/Theano-0.8.0-py2.7.egg', '/home/chaoyan/Documents/DL/beta_vae_mol'])
Namespace(batch_size=128, dropout=0.5, embedding_size=48, enc_bidir=True, generate_samples=False, grad_clip=5.0, latent_size=56, layer_size=512, logdir='/mnt/Data/DL/tmp/beta_vae_mol', max_len=75, n_layers=2, num_epochs=151, random_seed=9, restore='/mnt/Data/DL/tmp/beta_vae_mol/baseline/checkpoints/150', save_dir='guided_results9', tag='', test_mode=False, wd=0.0001, weighted_loss=False)
('X_train', <type 'numpy.ndarray'>, (224510, 56))
('y_train', <type 'numpy.ndarray'>, (224510, 1))
(249456, 249456, 249456)
('load vocab from:', '../data/vacab')
('vocab_size:', 65)
('padding_idx sos_idx eos_idx unk_idx:', 1, 2, 1, 0)
('X_train shape:', (224510, 56))
('y_train shape:', (224510, 1))
Initializing network
Compiling adam updates
Training
Epoch: 0, Mini-batch: 0 of 45 - Energy: 12781.8508489 Time: 0.342808008194
Epoch: 0, Mini-batch: 1 of 45 - Energy: 13967.1755249 Time: 0.286415815353
Epoch: 0, Mini-batch: 2 of 45 - Energy: 13357.7866783 Time: 0.28627204895
Epoch: 0, Mini-batch: 3 of 45 - Energy: 13142.642643 Time: 0.292083024979
Epoch: 0, Mini-batch: 4 of 45 - Energy: 12836.9633499 Time: 0.221204996109
Epoch: 0, Mini-batch: 5 of 45 - Energy: 13048.0147846 Time: 0.214886903763
Epoch: 0, Mini-batch: 6 of 45 - Energy: 14480.6365767 Time: 0.211400985718
Epoch: 0, Mini-batch: 7 of 45 - Energy: 12742.1056126 Time: 0.280097007751
Epoch: 0, Mini-batch: 8 of 45 - Energy: 12531.3005077 Time: 0.288869857788
Epoch: 0, Mini-batch: 9 of 45 - Energy: 12690.1978088 Time: 0.289141178131
Epoch: 0, Mini-batch: 10 of 45 - Energy: 12262.4942105 Time: 0.284856796265
Epoch: 0, Mini-batch: 11 of 45 - Energy: 12626.1891719 Time: 0.212786912918
Epoch: 0, Mini-batch: 12 of 45 - Energy: 12070.0293829 Time: 0.211751937866
Epoch: 0, Mini-batch: 13 of 45 - Energy: 12370.0944592 Time: 0.212066888809
Epoch: 0, Mini-batch: 14 of 45 - Energy: 12303.9855296 Time: 0.21740603447
Epoch: 0, Mini-batch: 15 of 45 - Energy: 12497.1354828 Time: 0.212997913361
Epoch: 0, Mini-batch: 16 of 45 - Energy: 12625.9742292 Time: 0.212003946304
Epoch: 0, Mini-batch: 17 of 45 - Energy: 11393.7331634 Time: 0.212888002396
Epoch: 0, Mini-batch: 18 of 45 - Energy: 11764.163224 Time: 0.212578058243
Epoch: 0, Mini-batch: 19 of 45 - Energy: 11723.6743611 Time: 0.212646961212
