('sys.path:\n', ['/home/chaoyan/Documents/DL/beta_vae_mol/bo', '/home/chaoyan/anaconda3/envs/torch41/lib/python27.zip', '/home/chaoyan/anaconda3/envs/torch41/lib/python2.7', '/home/chaoyan/anaconda3/envs/torch41/lib/python2.7/plat-linux2', '/home/chaoyan/anaconda3/envs/torch41/lib/python2.7/lib-tk', '/home/chaoyan/anaconda3/envs/torch41/lib/python2.7/lib-old', '/home/chaoyan/anaconda3/envs/torch41/lib/python2.7/lib-dynload', '/home/chaoyan/anaconda3/envs/torch41/lib/python2.7/site-packages', '/home/chaoyan/anaconda3/envs/torch41/lib/python2.7/site-packages/Theano-0.8.0-py2.7.egg', '/home/chaoyan/Documents/DL/beta_vae_mol'])
Namespace(batch_size=128, dropout=0.5, embedding_size=48, enc_bidir=True, generate_samples=False, grad_clip=5.0, latent_size=56, layer_size=512, logdir='/mnt/Data/DL/tmp/beta_vae_mol', max_len=75, n_layers=2, num_epochs=151, random_seed=7, restore='/mnt/Data/DL/tmp/beta_vae_mol/baseline/checkpoints/150', save_dir='guided_results7', tag='', test_mode=False, wd=0.0001, weighted_loss=False)
('X_train', <type 'numpy.ndarray'>, (224510, 56))
('y_train', <type 'numpy.ndarray'>, (224510, 1))
(249456, 249456, 249456)
('load vocab from:', '../data/vacab')
('vocab_size:', 65)
('padding_idx sos_idx eos_idx unk_idx:', 1, 2, 1, 0)
('X_train shape:', (224510, 56))
('y_train shape:', (224510, 1))
Initializing network
Compiling adam updates
Training
Epoch: 0, Mini-batch: 0 of 45 - Energy: 13111.9028029 Time: 0.258129119873
Epoch: 0, Mini-batch: 1 of 45 - Energy: 13575.7996424 Time: 0.213153123856
Epoch: 0, Mini-batch: 2 of 45 - Energy: 13416.5452696 Time: 0.214931964874
Epoch: 0, Mini-batch: 3 of 45 - Energy: 13342.1911272 Time: 0.21506690979
Epoch: 0, Mini-batch: 4 of 45 - Energy: 13234.1918375 Time: 0.213711023331
Epoch: 0, Mini-batch: 5 of 45 - Energy: 13219.9787153 Time: 0.215280056
Epoch: 0, Mini-batch: 6 of 45 - Energy: 13315.733049 Time: 0.213489055634
Epoch: 0, Mini-batch: 7 of 45 - Energy: 12468.021449 Time: 0.216151952744
Epoch: 0, Mini-batch: 8 of 45 - Energy: 12342.7941589 Time: 0.213967084885
Epoch: 0, Mini-batch: 9 of 45 - Energy: 12934.2524993 Time: 0.214651823044
Epoch: 0, Mini-batch: 10 of 45 - Energy: 12873.8432963 Time: 0.212103128433
Epoch: 0, Mini-batch: 11 of 45 - Energy: 12341.3456206 Time: 0.211498975754
Epoch: 0, Mini-batch: 12 of 45 - Energy: 13297.2930836 Time: 0.21173119545
Epoch: 0, Mini-batch: 13 of 45 - Energy: 12906.1393007 Time: 0.214387893677
Epoch: 0, Mini-batch: 14 of 45 - Energy: 12642.6556734 Time: 0.212621927261
Epoch: 0, Mini-batch: 15 of 45 - Energy: 12161.3377372 Time: 0.212201118469
Epoch: 0, Mini-batch: 16 of 45 - Energy: 12442.4606334 Time: 0.213000059128
Epoch: 0, Mini-batch: 17 of 45 - Energy: 12134.9662717 Time: 0.212480068207
Epoch: 0, Mini-batch: 18 of 45 - Energy: 13076.0868636 Time: 0.21333694458
Epoch: 0, Mini-batch: 19 of 45 - Energy: 11460.5759844 Time: 0.21281003952
