('sys.path:\n', ['/home/chaoyan/Documents/DL/beta_vae_mol/bo', '/home/chaoyan/anaconda3/envs/torch41/lib/python27.zip', '/home/chaoyan/anaconda3/envs/torch41/lib/python2.7', '/home/chaoyan/anaconda3/envs/torch41/lib/python2.7/plat-linux2', '/home/chaoyan/anaconda3/envs/torch41/lib/python2.7/lib-tk', '/home/chaoyan/anaconda3/envs/torch41/lib/python2.7/lib-old', '/home/chaoyan/anaconda3/envs/torch41/lib/python2.7/lib-dynload', '/home/chaoyan/anaconda3/envs/torch41/lib/python2.7/site-packages', '/home/chaoyan/anaconda3/envs/torch41/lib/python2.7/site-packages/Theano-0.8.0-py2.7.egg', '/home/chaoyan/Documents/DL/beta_vae_mol'])
Namespace(batch_size=128, dropout=0.5, embedding_size=48, enc_bidir=True, generate_samples=False, grad_clip=5.0, latent_size=56, layer_size=512, logdir='/mnt/Data/DL/tmp/beta_vae_mol', max_len=75, n_layers=2, num_epochs=151, random_seed=2, restore='/mnt/Data/DL/tmp/beta_vae_mol/baseline/checkpoints/150', save_dir='results2', tag='', test_mode=False, wd=0.0001, weighted_loss=False)
('X_train', <type 'numpy.ndarray'>, (224510, 56))
('y_train', <type 'numpy.ndarray'>, (224510, 1))
(249456, 249456, 249456)
('load vocab from:', '../data/vacab')
('vocab_size:', 65)
('padding_idx sos_idx eos_idx unk_idx:', 1, 2, 1, 0)
('X_train shape:', (224510, 56))
('y_train shape:', (224510, 1))
Initializing network
Compiling adam updates
Training
Epoch: 0, Mini-batch: 0 of 45 - Energy: 13726.8703817 Time: 0.302592039108
Epoch: 0, Mini-batch: 1 of 45 - Energy: 13398.5369491 Time: 0.297726869583
Epoch: 0, Mini-batch: 2 of 45 - Energy: 12391.8867347 Time: 0.287182092667
Epoch: 0, Mini-batch: 3 of 45 - Energy: 12705.0259751 Time: 0.256924152374
Epoch: 0, Mini-batch: 4 of 45 - Energy: 13058.7301765 Time: 0.25817990303
Epoch: 0, Mini-batch: 5 of 45 - Energy: 12967.7119728 Time: 0.259176969528
Epoch: 0, Mini-batch: 6 of 45 - Energy: 12959.6229629 Time: 0.293351888657
Epoch: 0, Mini-batch: 7 of 45 - Energy: 12611.5584651 Time: 0.305114984512
Epoch: 0, Mini-batch: 8 of 45 - Energy: 12404.0993164 Time: 0.292011976242
Epoch: 0, Mini-batch: 9 of 45 - Energy: 12245.0831677 Time: 0.28814291954
Epoch: 0, Mini-batch: 10 of 45 - Energy: 12592.8569771 Time: 0.293103933334
Epoch: 0, Mini-batch: 11 of 45 - Energy: 12105.6822674 Time: 0.293318033218
Epoch: 0, Mini-batch: 12 of 45 - Energy: 12975.829356 Time: 0.265687942505
Epoch: 0, Mini-batch: 13 of 45 - Energy: 11888.5578296 Time: 0.290735006332
Epoch: 0, Mini-batch: 14 of 45 - Energy: 12339.3067086 Time: 0.290926933289
Epoch: 0, Mini-batch: 15 of 45 - Energy: 12425.5983725 Time: 0.293320894241
Epoch: 0, Mini-batch: 16 of 45 - Energy: 12210.8616685 Time: 0.269987106323
Epoch: 0, Mini-batch: 17 of 45 - Energy: 12792.4850105 Time: 0.267052173615
Epoch: 0, Mini-batch: 18 of 45 - Energy: 12036.2230873 Time: 0.248214006424
Epoch: 0, Mini-batch: 19 of 45 - Energy: 11519.6044266 Time: 0.278899908066
