('sys.path:\n', ['/home/chaoyan/Documents/DL/beta_vae_mol/bo', '/home/chaoyan/anaconda3/envs/torch41/lib/python27.zip', '/home/chaoyan/anaconda3/envs/torch41/lib/python2.7', '/home/chaoyan/anaconda3/envs/torch41/lib/python2.7/plat-linux2', '/home/chaoyan/anaconda3/envs/torch41/lib/python2.7/lib-tk', '/home/chaoyan/anaconda3/envs/torch41/lib/python2.7/lib-old', '/home/chaoyan/anaconda3/envs/torch41/lib/python2.7/lib-dynload', '/home/chaoyan/anaconda3/envs/torch41/lib/python2.7/site-packages', '/home/chaoyan/anaconda3/envs/torch41/lib/python2.7/site-packages/Theano-0.8.0-py2.7.egg', '/home/chaoyan/Documents/DL/beta_vae_mol'])
Namespace(batch_size=128, dropout=0.5, embedding_size=48, enc_bidir=True, generate_samples=False, grad_clip=5.0, latent_size=56, layer_size=512, logdir='/mnt/Data/DL/tmp/beta_vae_mol', max_len=75, n_layers=2, num_epochs=151, random_seed=8, restore='/mnt/Data/DL/tmp/beta_vae_mol/baseline/checkpoints/150', save_dir='guided_results8', tag='', test_mode=False, wd=0.0001, weighted_loss=False)
('X_train', <type 'numpy.ndarray'>, (224510, 56))
('y_train', <type 'numpy.ndarray'>, (224510, 1))
(249456, 249456, 249456)
('load vocab from:', '../data/vacab')
('vocab_size:', 65)
('padding_idx sos_idx eos_idx unk_idx:', 1, 2, 1, 0)
('X_train shape:', (224510, 56))
('y_train shape:', (224510, 1))
Initializing network
Compiling adam updates
Training
Epoch: 0, Mini-batch: 0 of 45 - Energy: 13339.7469648 Time: 0.256864786148
Epoch: 0, Mini-batch: 1 of 45 - Energy: 13577.8210265 Time: 0.211715936661
Epoch: 0, Mini-batch: 2 of 45 - Energy: 12943.974132 Time: 0.213500022888
Epoch: 0, Mini-batch: 3 of 45 - Energy: 12798.8166769 Time: 0.213330030441
Epoch: 0, Mini-batch: 4 of 45 - Energy: 13324.5854446 Time: 0.212604045868
Epoch: 0, Mini-batch: 5 of 45 - Energy: 12364.6802192 Time: 0.212597131729
Epoch: 0, Mini-batch: 6 of 45 - Energy: 13524.7325735 Time: 0.211910009384
Epoch: 0, Mini-batch: 7 of 45 - Energy: 12672.1100329 Time: 0.211668968201
Epoch: 0, Mini-batch: 8 of 45 - Energy: 13164.7926751 Time: 0.212386846542
Epoch: 0, Mini-batch: 9 of 45 - Energy: 12706.051555 Time: 0.279811859131
Epoch: 0, Mini-batch: 10 of 45 - Energy: 13237.0411036 Time: 0.287663936615
Epoch: 0, Mini-batch: 11 of 45 - Energy: 12203.5487715 Time: 0.287785768509
Epoch: 0, Mini-batch: 12 of 45 - Energy: 11858.803803 Time: 0.287688970566
Epoch: 0, Mini-batch: 13 of 45 - Energy: 13310.6086741 Time: 0.28985786438
Epoch: 0, Mini-batch: 14 of 45 - Energy: 12335.2356964 Time: 0.319246053696
Epoch: 0, Mini-batch: 15 of 45 - Energy: 11735.1386524 Time: 0.319076061249
Epoch: 0, Mini-batch: 16 of 45 - Energy: 12033.2567345 Time: 0.318819999695
Epoch: 0, Mini-batch: 17 of 45 - Energy: 12550.0895856 Time: 0.319025039673
Epoch: 0, Mini-batch: 18 of 45 - Energy: 12300.0601941 Time: 0.319327831268
Epoch: 0, Mini-batch: 19 of 45 - Energy: 11562.8962817 Time: 0.319405078888
