('sys.path:\n', ['/home/chaoyan/Documents/DL/beta_vae_mol/bo', '/home/chaoyan/anaconda3/envs/torch41/lib/python27.zip', '/home/chaoyan/anaconda3/envs/torch41/lib/python2.7', '/home/chaoyan/anaconda3/envs/torch41/lib/python2.7/plat-linux2', '/home/chaoyan/anaconda3/envs/torch41/lib/python2.7/lib-tk', '/home/chaoyan/anaconda3/envs/torch41/lib/python2.7/lib-old', '/home/chaoyan/anaconda3/envs/torch41/lib/python2.7/lib-dynload', '/home/chaoyan/anaconda3/envs/torch41/lib/python2.7/site-packages', '/home/chaoyan/anaconda3/envs/torch41/lib/python2.7/site-packages/Theano-0.8.0-py2.7.egg', '/home/chaoyan/Documents/DL/beta_vae_mol'])
Namespace(batch_size=128, dropout=0.5, embedding_size=48, enc_bidir=True, generate_samples=False, grad_clip=5.0, latent_size=56, layer_size=512, logdir='/mnt/Data/DL/tmp/beta_vae_mol', max_len=75, n_layers=2, num_epochs=151, random_seed=10, restore='/mnt/Data/DL/tmp/beta_vae_mol/baseline/checkpoints/150', save_dir='results10', tag='', test_mode=False, wd=0.0001, weighted_loss=False)
('X_train', <type 'numpy.ndarray'>, (224510, 56))
('y_train', <type 'numpy.ndarray'>, (224510, 1))
(249456, 249456, 249456)
('load vocab from:', '../data/vacab')
('vocab_size:', 65)
('padding_idx sos_idx eos_idx unk_idx:', 1, 2, 1, 0)
('X_train shape:', (224510, 56))
('y_train shape:', (224510, 1))
Initializing network
Compiling adam updates
Training
Epoch: 0, Mini-batch: 0 of 45 - Energy: 13730.8740137 Time: 0.355875015259
Epoch: 0, Mini-batch: 1 of 45 - Energy: 13853.2577698 Time: 0.348313808441
Epoch: 0, Mini-batch: 2 of 45 - Energy: 12740.541239 Time: 0.335944890976
Epoch: 0, Mini-batch: 3 of 45 - Energy: 13712.9055091 Time: 0.346426963806
Epoch: 0, Mini-batch: 4 of 45 - Energy: 12632.9031893 Time: 0.339859962463
Epoch: 0, Mini-batch: 5 of 45 - Energy: 12624.3993129 Time: 0.348901033401
Epoch: 0, Mini-batch: 6 of 45 - Energy: 12423.9068561 Time: 0.343451976776
Epoch: 0, Mini-batch: 7 of 45 - Energy: 12822.6988402 Time: 0.33145403862
Epoch: 0, Mini-batch: 8 of 45 - Energy: 12774.0135057 Time: 0.345203876495
Epoch: 0, Mini-batch: 9 of 45 - Energy: 12631.2754746 Time: 0.346369028091
Epoch: 0, Mini-batch: 10 of 45 - Energy: 12695.013202 Time: 0.336626052856
Epoch: 0, Mini-batch: 11 of 45 - Energy: 13447.4125836 Time: 0.353760004044
Epoch: 0, Mini-batch: 12 of 45 - Energy: 12883.7658859 Time: 0.337419986725
Epoch: 0, Mini-batch: 13 of 45 - Energy: 12500.3129194 Time: 0.343245983124
Epoch: 0, Mini-batch: 14 of 45 - Energy: 12131.8383931 Time: 0.336563110352
Epoch: 0, Mini-batch: 15 of 45 - Energy: 11819.9005381 Time: 0.340085983276
Epoch: 0, Mini-batch: 16 of 45 - Energy: 11720.9566408 Time: 0.353632926941
Epoch: 0, Mini-batch: 17 of 45 - Energy: 11505.2586308 Time: 0.337500095367
Epoch: 0, Mini-batch: 18 of 45 - Energy: 11809.1204582 Time: 0.356024026871
Epoch: 0, Mini-batch: 19 of 45 - Energy: 11823.7437146 Time: 0.348985910416
Epoch: 0, Mini-batch: 20 of 45 - Energy: 12480.6108105 Time: 0.344052791595
